"id","station_id","source","source_name","target","target_name","cost"
1,1,1,"Main Entry",2,"Ticket Counter","0.0007071067811773631"
2,1,2,"Ticket Counter",3,"Waiting Area","0.0007071067811899238"
3,1,3,"Waiting Area",9,"Lift","0.0010816653826396319"
4,1,3,"Waiting Area",8,"Book Shop","0.001063014581278006"
5,1,3,"Waiting Area",7,"Eatables Stall","0.0003605551275495"
6,1,3,"Waiting Area",6,"Washroom","0.00031622776601273055"
7,1,3,"Waiting Area",5,"Platform 2","0.0021213203435647473"
8,1,3,"Waiting Area",4,"Platform 1","0.0014142135623748235"
9,2,10,"Main Entry",11,"Ticket Counter","0.0007071067811773631"
10,2,11,"Ticket Counter",12,"Waiting Area","0.0007071067811899238"
11,2,12,"Waiting Area",18,"Lift","0.0010816653826396319"
12,2,12,"Waiting Area",17,"Book Shop","0.001063014581278006"
13,2,12,"Waiting Area",16,"Eatables Stall","0.0003605551275495"
14,2,12,"Waiting Area",15,"Washroom","0.00031622776601273055"
15,2,12,"Waiting Area",14,"Platform 2","0.0021213203435647473"
16,2,12,"Waiting Area",13,"Platform 1","0.0014142135623748235"
17,3,19,"Main Entry",20,"Ticket Counter","0.0007071067811773631"
18,3,20,"Ticket Counter",21,"Waiting Area","0.0007071067811899238"
19,3,21,"Waiting Area",27,"Lift","0.0010816653826396319"
20,3,21,"Waiting Area",26,"Book Shop","0.001063014581278006"
21,3,21,"Waiting Area",25,"Eatables Stall","0.0003605551275495"
22,3,21,"Waiting Area",24,"Washroom","0.00031622776601273055"
23,3,21,"Waiting Area",23,"Platform 2","0.0021213203435647473"
24,3,21,"Waiting Area",22,"Platform 1","0.0014142135623748235"
25,4,28,"Main Entry",29,"Ticket Counter","0.0007071067811773631"
26,4,29,"Ticket Counter",30,"Waiting Area","0.0007071067811899238"
27,4,30,"Waiting Area",36,"Lift","0.0010816653826396319"
28,4,30,"Waiting Area",35,"Book Shop","0.001063014581278006"
29,4,30,"Waiting Area",34,"Eatables Stall","0.0003605551275495"
30,4,30,"Waiting Area",33,"Washroom","0.00031622776601273055"
31,4,30,"Waiting Area",32,"Platform 2","0.0021213203435647473"
32,4,30,"Waiting Area",31,"Platform 1","0.0014142135623748235"
33,5,37,"Main Entry",38,"Ticket Counter","0.0007071067811773631"
34,5,38,"Ticket Counter",39,"Waiting Area","0.0007071067811899238"
35,5,39,"Waiting Area",45,"Lift","0.0010816653826396319"
36,5,39,"Waiting Area",44,"Book Shop","0.001063014581278006"
37,5,39,"Waiting Area",43,"Eatables Stall","0.0003605551275495"
38,5,39,"Waiting Area",42,"Washroom","0.00031622776601273055"
39,5,39,"Waiting Area",41,"Platform 2","0.0021213203435647473"
40,5,39,"Waiting Area",40,"Platform 1","0.0014142135623748235"
